datetime,pm25,pm10,no2,so2,co,o3,location,coordinates.latitude,coordinates.longitude
2023-01-01 00:00:00,29.96714153011233,45.214537056962975,41.34131821042509,5.535047414598851,2.10909295160964,12.088315448656065,Demo Station,28.6139,77.209
2023-01-01 01:00:00,23.617356988288154,79.56242452198968,68.80907183767965,9.661012311100396,2.7194641928021444,19.415513786475437,Demo Station,28.6139,77.209
2023-01-01 02:00:00,31.476885381006923,20.352064260084624,0.3567590341453233,3.870681143480857,0.7260735609102299,22.562569564280107,Demo Station,28.6139,77.209
2023-01-01 03:00:00,40.23029856408026,34.97309060793259,26.983383070658604,18.010656092696173,1.7071244752775656,19.919400770730697,Demo Station,28.6139,77.209
2023-01-01 04:00:00,22.65846625276664,80.40183481982203,36.1842089721525,19.636333638709377,2.145666314651116,49.105356478383825,Demo Station,28.6139,77.209
2023-01-01 05:00:00,22.658630430508193,52.62238649350294,20.758497701410747,7.732049572890922,1.6900444937514278,82.58350693347731,Demo Station,28.6139,77.209
2023-01-01 06:00:00,40.79212815507391,67.69685165602317,42.742829804911864,3.0670249672141736,1.3009869556632152,29.780198496341512,Demo Station,28.6139,77.209
2023-01-01 07:00:00,32.67434729152909,91.02493886538926,16.999009940095306,11.682960194510308,0.9874800044408057,32.3145064104813,Demo Station,28.6139,77.209
2023-01-01 08:00:00,20.305256140650478,36.123911641963545,32.30771490324962,7.58948741015538,3.0882153638124334,28.308349050272387,Demo Station,28.6139,77.209
2023-01-01 09:00:00,30.425600435859646,48.01371324415936,22.168921432524602,15.87340566264016,1.5769672332215796,57.153535212592374,Demo Station,28.6139,77.209
2023-01-01 10:00:00,20.365823071875376,44.551461981382566,48.29146624432158,6.0642670223504815,1.8111536249738198,48.52713720786762,Demo Station,28.6139,77.209
2023-01-01 11:00:00,20.34270246429743,10.90813991033449,19.854532454465918,12.722566112142214,1.7594560645975297,39.66745155689004,Demo Station,28.6139,77.209
2023-01-01 12:00:00,27.419622715660342,43.79206392488062,24.72189305570226,10.569967946958466,0.8500652743993502,15.737770648994388,Demo Station,28.6139,77.209
